id,score,essay_id,metric_id
556,3.00,80,28
557,0.00,80,34
575,3.68,82,25
576,5.95,82,22
577,62.00,82,37
578,19.00,82,31
579,2.00,82,28
580,6.00,82,34
581,5.28,82,19
582,61.41,82,1
583,41.66,82,2
584,62.90,82,3
585,38.21,82,4
586,34.11,82,5
587,41.26,82,6
588,48.20,82,7
589,2.43,82,8
590,45.60,82,9
623,5.89,85,27
624,49.25,85,21
625,59.97,85,24
626,206.00,85,39
627,15.00,85,33
628,6.00,85,30
629,6.00,85,36
630,30.49,85,40
631,36.63,85,13
632,19.78,85,10
633,7.06,85,11
634,48.66,85,12
635,54.55,85,14
636,7.38,85,15
637,16.18,85,16
638,24.36,85,17
639,51.00,85,18
640,3.49,86,25
641,6.11,86,22
642,58.00,86,37
643,9.00,86,31
644,6.00,86,28
645,0.00,86,34
646,6.00,86,19
647,11.79,86,1
648,77.78,86,2
649,20.74,86,3
650,16.90,86,4
651,91.21,86,5
652,71.07,86,6
653,73.20,86,7
654,10.43,86,8
655,25.16,86,9
656,3.44,87,25
657,5.08,87,22
658,199.00,87,37
659,10.00,87,31
660,5.00,87,28
661,0.00,87,34
662,6.88,87,19
663,52.28,87,1
664,26.05,87,2
665,97.54,87,3
666,92.26,87,4
667,93.92,87,5
668,16.22,87,6
669,41.63,87,7
670,7.23,87,8
671,15.67,87,9
672,5.33,88,25
673,6.46,88,22
674,131.00,88,37
675,1.00,88,31
676,7.00,88,28
677,0.00,88,34
678,5.87,88,19
679,81.97,88,1
680,72.12,88,2
681,66.57,88,3
682,61.35,88,4
683,37.56,88,5
684,51.99,88,6
685,28.42,88,7
686,67.35,88,8
687,68.56,88,9
688,1.98,89,27
689,20.94,89,21
690,89.46,89,24
691,173.00,89,39
692,4.00,89,33
693,3.00,89,30
694,0.00,89,36
695,46.06,89,40
696,89.89,89,13
697,90.70,89,10
698,46.65,89,11
699,24.45,89,12
700,40.49,89,14
701,91.40,89,15
702,7.06,89,16
703,34.15,89,17
704,36.45,89,18
705,4.83,90,25
706,6.98,90,22
707,154.00,90,37
708,20.00,90,31
709,8.00,90,28
710,0.00,90,34
711,6.47,90,19
712,77.38,90,1
713,14.90,90,2
714,75.33,90,3
715,11.18,90,4
716,39.76,90,5
717,89.28,90,6
718,99.39,90,7
719,97.04,90,8
720,24.40,90,9
721,1.70,91,25
722,5.93,91,22
723,194.00,91,37
724,18.00,91,31
725,5.00,91,28
726,0.00,91,34
727,5.11,91,19
728,74.32,91,1
729,89.93,91,2
730,63.95,91,3
731,17.24,91,4
732,19.14,91,5
733,19.49,91,6
734,95.74,91,7
735,0.44,91,8
736,24.98,91,9
737,2.92,92,25
738,6.28,92,22
739,104.00,92,37
740,11.00,92,31
741,5.00,92,28
742,0.00,92,34
743,5.34,92,19
744,89.38,92,1
745,21.43,92,2
746,69.31,92,3
747,65.06,92,4
748,96.75,92,5
749,93.96,92,6
750,25.95,92,7
751,14.54,92,8
752,70.84,92,9
753,4.90,93,27
754,40.57,93,21
755,91.83,93,24
756,135.00,93,39
757,16.00,93,33
758,1.00,93,30
759,0.00,93,36
760,87.26,93,40
761,94.45,93,13
762,55.19,93,10
763,1.92,93,11
764,49.33,93,12
765,2.77,93,14
766,26.95,93,15
767,99.02,93,16
768,57.18,93,17
769,91.40,93,18
770,2.18,94,27
771,87.58,94,21
772,69.61,94,24
773,108.00,94,39
774,19.00,94,33
775,5.00,94,30
776,0.00,94,36
777,23.28,94,40
778,25.21,94,13
779,53.34,94,10
780,44.33,94,11
781,15.68,94,12
782,49.83,94,14
783,9.71,94,15
784,12.31,94,16
785,39.90,94,17
786,47.28,94,18
787,5.80,95,25
788,6.67,95,22
789,247.00,95,37
790,16.00,95,31
791,8.00,95,28
792,0.00,95,34
793,6.20,95,19
794,71.62,95,1
795,58.16,95,2
796,44.25,95,3
797,71.57,95,4
798,95.58,95,5
799,99.44,95,6
800,52.81,95,7
801,7.95,95,8
802,42.31,95,9
803,3.15,96,27
804,67.19,96,21
805,56.22,96,24
806,136.00,96,39
807,19.00,96,33
808,7.00,96,30
809,0.00,96,36
810,90.22,96,40
811,35.30,96,13
812,33.28,96,10
813,5.76,96,11
814,29.16,96,12
815,62.94,96,14
816,73.54,96,15
817,72.16,96,16
818,6.21,96,17
819,48.09,96,18
836,2.71,98,25
837,5.07,98,22
838,172.00,98,37
839,15.00,98,31
840,3.00,98,28
841,0.00,98,34
842,6.13,98,19
843,32.12,98,1
844,16.13,98,2
845,65.22,98,3
846,22.25,98,4
847,75.99,98,5
848,22.43,98,6
849,22.32,98,7
850,41.53,98,8
851,23.64,98,9
852,1.72,99,25
853,5.06,99,22
854,174.00,99,37
855,5.00,99,31
856,8.00,99,28
857,0.00,99,34
858,6.95,99,19
859,4.41,99,1
860,39.21,99,2
861,61.69,99,3
862,74.39,99,4
863,78.57,99,5
864,9.94,99,6
865,44.27,99,7
866,8.41,99,8
867,68.86,99,9
868,5.39,100,25
869,5.54,100,22
870,94.00,100,37
871,8.00,100,31
872,7.00,100,28
873,0.00,100,34
874,6.39,100,19
875,78.04,100,1
876,84.06,100,2
877,12.65,100,3
878,62.74,100,4
879,52.31,100,5
880,3.43,100,6
881,3.21,100,7
882,64.18,100,8
883,10.10,100,9
884,1.32,101,27
885,19.66,101,21
886,61.36,101,24
887,78.00,101,39
888,16.00,101,33
889,8.00,101,30
890,0.00,101,36
891,42.26,101,40
892,82.97,101,13
893,20.21,101,10
894,70.25,101,11
895,41.96,101,12
896,56.15,101,14
897,77.34,101,15
898,94.07,101,16
899,23.73,101,17
900,36.46,101,18
901,2.42,102,25
902,5.76,102,22
903,132.00,102,37
904,20.00,102,31
905,6.00,102,28
906,0.00,102,34
907,6.96,102,19
908,6.96,102,1
909,37.92,102,2
910,42.47,102,3
911,71.03,102,4
912,21.09,102,5
913,91.94,102,6
914,82.85,102,7
915,70.61,102,8
916,72.66,102,9
917,3.97,103,25
918,6.00,103,22
919,56.00,103,37
