student_id,text_complexity,student_performance,rate_of_improvement_in_reading_skills,concept_mastery_across_different_texts
1,3,5,-6,8
2,9,7,-4,5
3,2,6,-1,3
4,4,7,-9,10
5,3,10,-10,7
6,5,4,1,5
7,10,10,3,7
8,2,1,8,8
9,6,9,7,5
10,10,2,-2,3
11,10,3,0,10
12,1,7,-10,2
13,7,3,10,3
14,7,4,-2,6
15,7,3,-1,10
16,9,1,-4,6
17,3,2,10,6
18,6,8,5,6
19,7,6,2,5
20,2,10,9,8
21,9,9,1,4
22,1,7,0,7
23,2,9,1,10
24,9,6,1,2
25,8,3,10,4
26,4,1,-1,7
27,3,10,10,2
28,8,7,6,10
29,2,3,7,4
30,4,7,2,4
31,2,1,-7,9
32,8,8,7,7
33,8,6,0,7
34,1,7,-5,5
35,3,4,4,4
36,5,10,-5,6
37,7,7,2,6
38,3,4,8,5
39,2,4,-2,6
40,9,10,7,3
41,4,10,4,1
42,8,4,-4,10
43,3,1,8,9
44,1,7,7,4
45,2,5,-8,7
46,8,10,-9,10
47,8,6,-5,10
48,1,1,1,5
49,5,9,0,3
50,4,2,2,1
51,4,7,3,10
52,9,10,3,3
53,3,2,-4,7
54,4,3,-2,3
55,7,3,-3,5
56,4,10,-10,9
57,7,9,-3,2
58,9,9,5,9
59,4,5,-1,10
60,3,5,7,3
61,1,4,10,7
62,4,5,1,7
63,7,9,6,3
64,5,3,1,10
65,10,5,-2,9
66,10,8,1,8
67,2,7,-7,10
68,2,8,9,9
69,1,3,10,5
70,1,8,-10,7
71,6,9,-6,3
72,10,10,-6,7
73,1,4,0,2
74,2,1,0,6
75,7,1,10,4
76,2,9,8,7
77,6,6,-7,1
78,7,10,0,6
79,8,8,4,8
80,9,10,-5,8
81,5,6,-10,4
82,1,6,9,1
83,2,4,-3,6
84,1,7,5,7
85,4,1,3,8
86,3,5,7,5
87,9,9,3,7
88,2,7,-9,8
89,6,5,-9,7
90,1,10,-10,10
91,6,5,0,4
92,4,10,-10,4
93,10,4,6,6
94,8,2,-3,9
95,6,10,-8,6
96,8,2,10,6
97,2,2,-4,2
98,4,2,4,4
99,5,6,-9,2
100,3,7,-5,2
101,6,3,-10,4
102,7,5,8,5
103,5,4,-2,8
104,5,8,7,4
105,6,2,3,7
106,2,9,7,7
107,2,10,-5,10
108,10,9,7,6
109,10,9,0,2
110,7,8,1,5
111,5,10,-3,2
112,1,8,2,7
113,9,5,8,2
114,6,1,0,6
115,1,3,-5,7
116,2,9,-5,6
117,2,5,-1,8
118,1,10,8,10
119,5,8,-1,1
120,4,6,-9,3
121,4,5,-1,7
122,3,1,2,7
123,3,4,-3,10
124,4,4,2,6
125,10,10,-6,10
126,3,6,-9,6
127,5,3,0,5
128,2,3,10,2
129,2,1,8,10
130,9,2,-4,10
131,6,1,-2,6
132,2,5,1,10
133,5,3,0,7
134,1,9,-10,3
135,6,5,-9,10
136,7,5,9,5
137,5,1,-5,7
138,7,6,2,5
139,1,10,0,4
140,3,2,-7,9
141,5,5,7,5
142,4,4,-6,8
143,1,3,-2,2
144,6,10,0,1
145,4,10,6,9
146,10,7,-4,4
147,5,9,-9,2
148,9,5,-3,4
149,9,9,-2,3
150,7,3,-5,1
151,8,3,-2,8
152,7,6,0,3
153,1,6,4,1
154,3,7,9,3
155,8,8,-5,4
156,3,10,2,8
157,1,4,-6,6
158,6,6,-3,5
159,1,6,7,3
160,5,2,6,8
161,3,9,2,4
162,2,1,3,2
163,7,10,-1,2
164,4,6,9,5
165,8,9,-4,8
166,4,5,-9,7
167,8,6,-7,2
168,9,1,3,3
169,6,10,-4,6
