student_id,navigation_patterns_between_planets_and_activities,number_of_help_requests
1,ExplainIt - AskIt,3
2,ExplainIt - FindIt,1
3,SummarizeIt - FindIt,1
4,ExplainIt - AskIt,2
5,ExplainIt - RewordIt,2
6,FindIt - AskIt,10
7,AskIt - FindIt,8
8,SummarizeIt - FindIt,6
9,ExplainIt - AskIt,9
10,FindIt - SummarizeIt,8
11,SummarizeIt - AskIt,2
12,SummarizeIt - ExplainIt,9
13,ExplainIt - SummarizeIt,6
14,SummarizeIt - ExplainIt,7
15,SummarizeIt - RewordIt,10
16,SummarizeIt - AskIt,9
17,AskIt - ExplainIt,6
18,RewordIt - FindIt,1
19,AskIt - ExplainIt,1
20,FindIt - SummarizeIt,6
21,SummarizeIt - AskIt,2
22,RewordIt - AskIt,1
23,RewordIt - ExplainIt,4
24,AskIt - ExplainIt,8
25,RewordIt - ExplainIt,3
26,RewordIt - ExplainIt,5
27,FindIt - ExplainIt,5
28,SummarizeIt - ExplainIt,10
29,SummarizeIt - ExplainIt,9
30,SummarizeIt - RewordIt,5
31,FindIt - ExplainIt,7
32,FindIt - RewordIt,6
33,ExplainIt - AskIt,7
34,FindIt - ExplainIt,3
35,SummarizeIt - AskIt,7
36,FindIt - RewordIt,10
37,ExplainIt - SummarizeIt,8
38,FindIt - RewordIt,1
39,AskIt - FindIt,9
40,RewordIt - SummarizeIt,7
41,AskIt - RewordIt,3
42,SummarizeIt - ExplainIt,10
43,FindIt - RewordIt,9
44,AskIt - ExplainIt,1
45,AskIt - RewordIt,6
46,SummarizeIt - AskIt,10
47,RewordIt - SummarizeIt,2
48,AskIt - SummarizeIt,2
49,FindIt - ExplainIt,6
50,SummarizeIt - FindIt,10
51,ExplainIt - FindIt,6
52,ExplainIt - RewordIt,7
53,ExplainIt - AskIt,2
54,FindIt - SummarizeIt,9
55,ExplainIt - SummarizeIt,6
56,ExplainIt - SummarizeIt,5
57,ExplainIt - RewordIt,10
58,RewordIt - FindIt,5
59,AskIt - ExplainIt,4
60,SummarizeIt - ExplainIt,3
61,ExplainIt - AskIt,2
62,SummarizeIt - ExplainIt,1
63,FindIt - RewordIt,4
64,SummarizeIt - ExplainIt,1
65,RewordIt - SummarizeIt,2
66,AskIt - RewordIt,6
67,FindIt - RewordIt,5
68,RewordIt - ExplainIt,4
69,AskIt - SummarizeIt,2
70,FindIt - SummarizeIt,6
71,ExplainIt - FindIt,6
72,FindIt - ExplainIt,1
73,SummarizeIt - ExplainIt,5
74,FindIt - SummarizeIt,5
75,SummarizeIt - FindIt,10
76,ExplainIt - RewordIt,10
77,FindIt - AskIt,6
78,AskIt - FindIt,8
79,RewordIt - AskIt,3
